Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
ABCB4	GBD1, MDR2, MDR3, PFIC-3, PGY3	ENSG00000005471	ATP binding cassette subfamily B member 4	7	87401697-87480435	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA049395, HPA053288	Approved		Approved	Nucleoplasm<br>Plasma membrane<br>Actin filaments<br>Focal adhesion sites		Tissue enriched	Tissue enriched	6	liver: 69.3	adrenal gland: 10.7	Group enriched	6	SH-SY5Y: 14.2;WM-115: 25.6
ABCB6	EST45597, MTABC3, umat	ENSG00000115657	ATP binding cassette subfamily B member 6 (Langereis blood group)	2	219209768-219218990	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA046723, HPA058011	Approved		Enhanced	Nucleoplasm<br>Golgi apparatus<br>Plasma membrane<br>Mitochondria<br>Cytosol	Renal cancer:1.52e-7 (unfavourable), Liver cancer:9.45e-7 (unfavourable)	Expressed in all	Expressed in all			testis: 32.7	Mixed		
ABCB7	ABC7, ASAT, Atm1p, EST140535	ENSG00000131269	ATP binding cassette subfamily B member 7	X	75053172-75156732	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA034982	Approved		Supported	Mitochondria	Renal cancer:5.31e-6 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 21.7	Expressed in all		
ABCC6	ARA, EST349056, MLP1, MRP6, PXE, URG7	ENSG00000091262	ATP binding cassette subfamily C member 6	16	16148928-16223522	Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA038105			Supported	Plasma membrane	Liver cancer:3.82e-4 (favourable)	Tissue enhanced	Tissue enhanced		kidney: 16.9;liver: 23.4	duodenum: 13.0	Cell line enriched	6	Hep G2: 45.5
ABCC9	CMD1O, SUR2	ENSG00000069431	ATP binding cassette subfamily C member 9	12	21797401-21942529	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA007279	Uncertain		Approved	Nucleoplasm<br>Cytosol	Renal cancer:1.85e-5 (unfavourable)	Mixed	Mixed			smooth muscle: 37.2	Cell line enhanced		ASC diff: 18.7;CACO-2: 21.7;HSkMC: 23.7;U-138 MG: 27.1
ABCD1	adrenoleukodystrophy, ALD, ALDP, AMN	ENSG00000101986	ATP binding cassette subfamily D member 1	X	153724868-153744762	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level						Renal cancer:5.50e-4 (unfavourable)	Expressed in all	Expressed in all			small intestine: 19.3	Cell line enhanced		EFO-21: 65.5;PC-3: 46.4
ABCD3	PMP70, PXMP1, ZWS2	ENSG00000117528	ATP binding cassette subfamily D member 3	1	94418455-94518666	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA032026, HPA032027, CAB032516, CAB075749	Enhanced		Enhanced	Peroxisomes	Colorectal cancer:1.16e-5 (favourable), Renal cancer:4.84e-5 (favourable)	Expressed in all	Expressed in all			liver: 66.4	Expressed in all		
ABCD4	EST352188, P70R, PMP69, PXMP1L	ENSG00000119688	ATP binding cassette subfamily D member 4	14	74285423-74303056	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA003396	Approved					Expressed in all	Expressed in all			fallopian tube: 13.8	Expressed in all		
ABCG5	STSL	ENSG00000138075	ATP binding cassette subfamily G member 5	2	43812472-43838865	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA016514			Approved	Nucleus	Liver cancer:2.60e-5 (favourable)	Tissue enriched	Group enriched	32	duodenum: 56.5;liver: 28.4;small intestine: 56.2	gallbladder: 1.4	Cell line enriched	37	Hep G2: 6.3
ABCG8	GBD4	ENSG00000143921	ATP binding cassette subfamily G member 8	2	43838964-43878466	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA019556	Uncertain		Approved	Vesicles		Tissue enriched	Group enriched	25	duodenum: 50.0;liver: 34.0;small intestine: 55.5	gallbladder: 1.8	Cell line enriched	44	Hep G2: 6.9
ABHD12	ABHD12A, BEM46L2, C20orf22, dJ965G21.2, DKFZP434P106	ENSG00000100997	Abhydrolase domain containing 12	20	25294743-25390983	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA026866	Uncertain				Cervical cancer:1.30e-5 (favourable), Breast cancer:3.81e-5 (unfavourable), Liver cancer:7.18e-4 (unfavourable)	Expressed in all	Expressed in all			epididymis: 137.3	Expressed in all		
ABHD5	CGI-58, NCIE2	ENSG00000011198	Abhydrolase domain containing 5	3	43690113-43734371	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB020685, HPA035851, HPA035852	Approved		Approved	Vesicles	Renal cancer:9.17e-5 (favourable), Colorectal cancer:8.89e-4 (favourable)	Expressed in all	Expressed in all			adipose tissue: 50.6	Expressed in all		
ACACA	ACAC, ACC, ACC1	ENSG00000278540	Acetyl-CoA carboxylase alpha	17	37084988-37406818	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB013715, HPA036650, HPA063018	Approved		Supported	Nucleoli fibrillar center<br>Actin filaments<br>Cytosol	Liver cancer:1.24e-5 (unfavourable)	Expressed in all	Mixed			breast: 28.8	Expressed in all		
ACADL	ACAD4, LCAD	ENSG00000115361	Acyl-CoA dehydrogenase, long chain	2	210187939-210225491	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA011990	Enhanced	Supported			Renal cancer:1.58e-11 (favourable)	Group enriched	Tissue enhanced		thyroid gland: 32.0	prostate: 27.0	Cell line enhanced		HAP1: 1.6;HeLa: 2.5;RPTEC TERT1: 2.5;U-2 OS: 1.9
ACADM	ACAD1, MCAD, MCADH	ENSG00000117054	Acyl-CoA dehydrogenase, C-4 to C-12 straight chain	1	75724347-75787575	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA006198, HPA026542	Enhanced		Enhanced	Mitochondria	Renal cancer:3.83e-8 (favourable), Colorectal cancer:7.30e-4 (favourable)	Expressed in all	Expressed in all			kidney: 328.0	Expressed in all		
ACADS	ACAD3, SCAD	ENSG00000122971	Acyl-CoA dehydrogenase, C-2 to C-3 short chain	12	120725735-120740008	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA004799, CAB019284, HPA022271	Enhanced		Enhanced	Mitochondria	Renal cancer:3.33e-6 (favourable), Urothelial cancer:6.34e-5 (favourable), Liver cancer:2.43e-4 (favourable), Endometrial cancer:5.05e-4 (favourable), Glioma:9.94e-4 (unfavourable)	Expressed in all	Expressed in all			duodenum: 81.2	Cell line enhanced		HMC-1: 30.0
ACADSB	ACAD7, SBCAD	ENSG00000196177	Acyl-CoA dehydrogenase, short/branched chain	10	123008979-123058311	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA041458	Enhanced		Supported	Mitochondria	Renal cancer:6.37e-12 (favourable), Pancreatic cancer:3.40e-4 (favourable)	Expressed in all	Expressed in all			liver: 186.7	Expressed in all		
ACADVL	ACAD6, LCACD, VLCAD	ENSG00000072778	Acyl-CoA dehydrogenase, very long chain	17	7217125-7225273	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA019006, HPA020595	Enhanced		Supported	Nucleus<br>Nucleoli<br>Mitochondria	Pancreatic cancer:6.87e-4 (favourable)	Expressed in all	Expressed in all			adrenal gland: 453.7	Expressed in all		
ACAT1	ACAT, THIL	ENSG00000075239	Acetyl-CoA acetyltransferase 1	11	108121516-108147776	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA004428, HPA007569	Enhanced		Enhanced	Mitochondria	Renal cancer:0.00e+0 (favourable), Liver cancer:1.43e-5 (favourable)	Expressed in all	Expressed in all			kidney: 534.2	Expressed in all		
ACO2	ACONM	ENSG00000100412	Aconitase 2	22	41469125-41528989	Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA001097	Enhanced	Supported	Supported	Mitochondria	Renal cancer:0.00e+0 (favourable)	Expressed in all	Expressed in all			heart muscle: 308.9	Expressed in all		
ACOX1	PALMCOX	ENSG00000161533	Acyl-CoA oxidase 1	17	75941507-75979363	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB021094, HPA021192, HPA021195, HPA028759	Approved		Enhanced	Nucleus<br>Vesicles	Renal cancer:5.25e-7 (favourable)	Expressed in all	Expressed in all			liver: 98.4	Expressed in all		
ACP2	LAP	ENSG00000134575	Acid phosphatase 2, lysosomal	11	47239302-47248906	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level						Endometrial cancer:1.04e-4 (favourable)	Expressed in all	Expressed in all			duodenum: 41.2	Expressed in all		
ACP5	HPAP, TRAP	ENSG00000102575	Acid phosphatase 5, tartrate resistant	19	11574660-11579008	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB002584, HPA057655, HPA059463	Enhanced		Approved	Cytosol		Expressed in all	Tissue enhanced		lung: 254.0	lymph node: 86.3	Cell line enhanced		BEWO: 36.2;SK-MEL-30: 85.3;U-138 MG: 97.5
ACPT		ENSG00000142513	Acid phosphatase, testicular	19	50790415-50795224	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level							Mixed	Tissue enhanced		skin: 1.4;testis: 2.2	parathyroid gland: 0.5	Cell line enhanced		HEK93: 1.3;U-266/84: 1.3
ACSL4	ACS4, FACL4, LACS4, MRX63, MRX68	ENSG00000068366	Acyl-CoA synthetase long-chain family member 4	X	109624244-109733403	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA000286, HPA005552	Enhanced		Approved	Golgi apparatus<br>Mitochondria	Urothelial cancer:5.73e-4 (favourable)	Expressed in all	Expressed in all			cervix, uterine: 70.7	Cell line enhanced		HMC-1: 324.7
ACSL6	ACS2, FACL6, KIAA0837, LACS2, LACS5	ENSG00000164398	Acyl-CoA synthetase long-chain family member 6	5	131949973-132012243	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA040470	Enhanced					Group enriched	Group enriched	6	bone marrow: 18.0;cerebral cortex: 61.9;parathyroid gland: 22.5;seminal vesicle: 29.0;testis: 51.4	adrenal gland: 6.4	Group enriched	6	SCLC-21H: 13.0;U-937: 5.2
ACTN2		ENSG00000077522	Actinin alpha 2	1	236686454-236764631	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level	HPA006035, HPA008315	Enhanced					Tissue enhanced	Group enriched	28	heart muscle: 477.5;skeletal muscle: 758.7	esophagus: 22.4	Cell line enhanced		HEK93: 1.8;HSkMC: 5.5;hTEC/SVTERT24-B: 4.9
ACVR1	ACVR1A, ACVRLK2, ALK2, SKR1	ENSG00000115170	Activin A receptor type 1	2	157736444-157875862	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA007505, HPA046514	Approved		Approved	Nucleoli<br>Cytosol	Urothelial cancer:5.17e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 74.2	Mixed		
ACVR1B	ActRIB, ACVRLK4, ALK4, SKR2	ENSG00000135503	Activin A receptor type 1B	12	51951667-51997078	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB026126, HPA063761	Approved		Enhanced	Cytosol		Expressed in all	Expressed in all			parathyroid gland: 54.6	Expressed in all		
ACVR2B	ActR-IIB	ENSG00000114739	Activin A receptor type 2B	3	38453851-38493142	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA007398, CAB025115, HPA040384	Approved		Approved	Nucleus<br>Nuclear bodies<br>Cytosol		Expressed in all	Mixed			parathyroid gland: 6.4	Cell line enhanced		AF22: 20.5;NTERA-2: 25.8
ACVRL1	ACVRLK1, ALK1, HHT, HHT2, ORW2	ENSG00000139567	Activin A receptor like type 1	12	51906908-51923361	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA007041	Approved					Expressed in all	Tissue enhanced		placenta: 126.4	lung: 76.4	Cell line enhanced		ASC diff: 42.2;EFO-21: 52.0;HUVEC TERT2: 171.4;TIME: 130.8
ACY1		ENSG00000243989	Aminoacylase 1	3	51983278-51989202	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB003695, HPA036174, HPA036175	Enhanced				Renal cancer:2.93e-4 (favourable), Urothelial cancer:6.77e-4 (favourable)	Expressed in all	Group enriched	5	duodenum: 130.8;kidney: 356.0;liver: 114.9;small intestine: 103.3	parathyroid gland: 35.0	Mixed		
ADAM10	CD156c, HsT18717, kuz, MADM	ENSG00000137845	ADAM metallopeptidase domain 10	15	58588807-58749978	Cancer-related genes, CD markers, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	CAB001709, HPA050670	Approved		Supported	Vesicles<br>Plasma membrane	Lung cancer:8.46e-5 (unfavourable), Pancreatic cancer:1.90e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 47.9	Expressed in all		
ADAM17	CD156B, cSVP, TACE	ENSG00000151694	ADAM metallopeptidase domain 17	2	9488486-9555792	CD markers, Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA010738, CAB025906, HPA051575	Approved		Supported	Cytosol	Urothelial cancer:4.23e-5 (unfavourable)	Expressed in all	Expressed in all			placenta: 33.8	Expressed in all		
ADAMTS13	C9orf8, DKFZp434C2322, FLJ42993, MGC118899, MGC118900, TTP, vWF-CP, VWFCP	ENSG00000160323	ADAM metallopeptidase with thrombospondin type 1 motif 13	9	133414358-133459402	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA042014, HPA042844	Uncertain					Mixed	Mixed			liver: 6.2	Mixed		
ADAMTS2	ADAM-TS2, ADAMTS-3, hPCPNI, NPI, PCINP	ENSG00000087116	ADAM metallopeptidase with thrombospondin type 1 motif 2	5	179110851-179345430	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA028444	Uncertain		Approved	Vesicles<br>Plasma membrane	Renal cancer:1.71e-8 (unfavourable)	Expressed in all	Mixed			placenta: 14.7	Cell line enhanced		HHSteC: 100.5;HSkMC: 69.6
ADAR	ADAR1, G1P1, IFI4	ENSG00000160710	Adenosine deaminase, RNA specific	1	154582062-154627999	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA003890, HPA051519, CAB056157	Enhanced		Enhanced	Nucleus<br>Nucleoli	Renal cancer:7.30e-5 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 121.4	Expressed in all		
ADCY1	AC1, DFNB44	ENSG00000164742	Adenylate cyclase 1	7	45574140-45723116	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB018364, HPA068274	Uncertain		Approved	Mitochondria		Mixed	Tissue enhanced		cerebral cortex: 35.0	cervix, uterine: 8.2	Cell line enhanced		hTERT-HME1: 17.5;SCLC-21H: 16.1;SH-SY5Y: 27.5;SK-MEL-30: 23.8;WM-115: 17.1
ADCY10	HCA2, RP1-313L4.2, SAC, SACI, Sacy	ENSG00000143199	Adenylate cyclase 10, soluble	1	167809388-167914215	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA015243, HPA017749	Approved					Tissue enhanced	Tissue enriched	11	testis: 33.1	liver: 3.1	Cell line enhanced		T-47d: 1.3
ADCY5	AC5	ENSG00000173175	Adenylate cyclase 5	3	123282296-123449758	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA017730, HPA077682	Uncertain		Enhanced	Intermediate filaments	Renal cancer:7.46e-6 (favourable)	Mixed	Tissue enhanced		heart muscle: 69.1	prostate,seminal vesicle: 30.0	Cell line enhanced		MCF7: 11.9;RPTEC TERT1: 4.0
ADCY6	AC6	ENSG00000174233	Adenylate cyclase 6	12	48766194-48789037	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB018365	Approved		Approved	Golgi apparatus	Liver cancer:8.23e-4 (unfavourable)	Expressed in all	Mixed			adipose tissue: 44.6	Mixed		
ADGRG1	GPR56, TM7LN4, TM7XN1	ENSG00000205336	Adhesion G protein-coupled receptor G1	16	57610652-57665580	Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA046065	Uncertain				Renal cancer:5.52e-7 (favourable), Head and neck cancer:2.53e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 349.0	Cell line enhanced		SK-MEL-30: 229.9
ADGRG2	EDDM6, GPR64, HE6, TM7LN2	ENSG00000173698	Adhesion G protein-coupled receptor G2	X	18989309-19122637	Disease related genes, G-protein coupled receptors, Plasma proteins, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA001478, HPA050029	Enhanced		Approved	Plasma membrane<br>Cytosol		Tissue enhanced	Tissue enriched	6	epididymis: 1494.8	parathyroid gland: 240.0	Cell line enhanced		A549: 5.4;BEWO: 7.0;NTERA-2: 6.3;SH-SY5Y: 6.9;U-2197: 13.5
ADGRG6	FLJ14937, GPR126	ENSG00000112414	Adhesion G protein-coupled receptor G6	6	142301854-142446266	Disease related genes, G-protein coupled receptors, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA017346	Approved				Pancreatic cancer:2.78e-5 (unfavourable), Lung cancer:8.78e-4 (unfavourable)	Mixed	Tissue enhanced		placenta: 67.2	liver: 36.9	Cell line enhanced		HUVEC TERT2: 133.3;MCF7: 118.0
ADGRV1	DKFZp761P0710, FEB4, GPR98, KIAA0686, MASS1, USH2C, VLGR1	ENSG00000164199	Adhesion G protein-coupled receptor V1	5	90529344-91164437	Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA067503	Approved		Approved	Lipid droplets		Mixed	Tissue enriched	11	adrenal gland: 261.4	kidney: 22.9	Cell line enhanced		AF22: 15.3;HAP1: 23.8;NTERA-2: 11.7;SCLC-21H: 13.1
ADSL		ENSG00000239900	Adenylosuccinate lyase	22	40346500-40390463	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA000525, CAB019285	Enhanced		Enhanced	Cytosol	Liver cancer:5.81e-8 (unfavourable), Colorectal cancer:2.38e-4 (favourable)	Expressed in all	Expressed in all			skeletal muscle: 127.3	Expressed in all		
ADSSL1	FLJ38602	ENSG00000185100	Adenylosuccinate synthase like 1	14	104724186-104747325	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level						Renal cancer:4.99e-4 (unfavourable)	Mixed	Tissue enriched	7	skeletal muscle: 428.0	heart muscle: 63.0	Cell line enhanced		EFO-21: 13.7;MCF7: 10.4;SiHa: 23.7
AFG3L2	SCA28, SPAX5	ENSG00000141385	AFG3 like matrix AAA peptidase subunit 2	18	12328944-12377314	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA004479, HPA004480	Enhanced		Enhanced	Mitochondria	Renal cancer:6.05e-14 (favourable), Endometrial cancer:8.68e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 123.6	Expressed in all		
AGA	ASRG	ENSG00000038002	Aspartylglucosaminidase	4	177430770-177442503	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA031415, HPA031417	Enhanced				Liver cancer:1.99e-4 (unfavourable), Head and neck cancer:8.61e-4 (unfavourable)	Expressed in all	Expressed in all			epididymis: 35.3	Expressed in all		
AGBL1	CCP4, FLJ32310	ENSG00000273540	ATP/GTP binding protein like 1	15	86079973-87029052	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level							Not detected	Tissue enhanced		lung: 1.3;skeletal muscle: 4.4	esophagus: 1.0	Not detected		
AGBL5	CCP5, FLJ21839	ENSG00000084693	ATP/GTP binding protein like 5	2	27042364-27070622	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA030981	Uncertain		Supported	Microtubules<br>Cytokinetic bridge<br>Cytosol	Liver cancer:6.87e-5 (unfavourable)	Expressed in all	Tissue enriched	7	testis: 357.5	parathyroid gland: 50.4	Expressed in all		
AGK	FLJ10842, MULK	ENSG00000006530	Acylglycerol kinase	7	141551189-141655244	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA020959, HPA053471	Supported		Supported	Vesicles<br>Mitochondria		Expressed in all	Expressed in all			parathyroid gland: 26.9	Expressed in all		
AGL		ENSG00000162688	Amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	1	99850084-99924023	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA028498, HPA054340	Approved		Supported	Nucleoplasm<br>Cytosol	Renal cancer:1.73e-10 (favourable)	Expressed in all	Tissue enhanced		skeletal muscle: 90.3	parathyroid gland: 35.1	Mixed		
AGPAT2	BSCL, LPAAT-beta	ENSG00000169692	1-acylglycerol-3-phosphate O-acyltransferase 2	9	136673143-136687423	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA019544	Uncertain		Approved	Centrosome		Expressed in all	Expressed in all			adipose tissue: 300.1	Mixed		
